City,Label,Month,Year,Date,Day of Week,Area,SQKM,Count_000,Count_010,Count_015
Mariupol,aug_2019_12,8,2019,8/12/2019 9:05,0,0.029400407,228.1097848,63822,6065,2129
Mariupol,b_s1,6,2021,6/21/2021 8:48,0,0.029400407,228.1092244,89170,18636,9551
Mariupol,feb_2019_14,2,2019,2/14/2019 8:54,3,0.000989145,8.082872203,1025,70,26
Mariupol,feb_2021_13,2,2021,2/13/2021 8:39,5,0.02520149,198.287514,125846,17347,7668
Mariupol,jul_2020_05,7,2020,7/5/2020 8:56,6,0.017531406,139.1471843,136395,25505,13464
Mariupol,jun_2019_16,6,2019,6/16/2019 8:57,6,0.029400407,228.1087152,298263,44630,19745
Mariupol,jun_2019_21,6,2019,6/21/2019 8:37,4,0.029400407,228.1095836,292313,53328,25386
Mariupol,jun_2020_07,6,2020,6/7/2020 8:16,6,0.012582632,101.9005103,54699,8518,3087
Mariupol,jun_2021_12,6,2021,6/12/2021 8:47,5,0.009068156,72.95714383,113167,22503,12929
Mariupol,jun_2021_21,6,2021,6/21/2021 8:48,0,0.024945553,195.9232483,71240,15846,8405
Mariupol,mar_2022_09,3,2022,3/9/2022 8:16,2,0.002751151,23.1249831,2275,284,113
Mariupol,mar_2022_12,3,2022,3/12/2022 8:26,5,0.023642007,187.7971575,13115,596,134
Mariupol,mar_2022_14,3,2022,3/14/2022 8:53,0,0.027229577,214.513003,51388,5671,1713
Mariupol,mar_2022_18,3,2022,3/18/2022 8:04,4,0.004781018,39.09176327,2800,118,16
Mariupol,mar_2022_19,3,2022,3/19/2022 9:10,5,0.029391114,228.0828,32254,3322,1045
Mariupol,mar_2022_21,3,2022,3/21/2022 9:14,0,0.010436021,83.46319599,20305,936,102
Mariupol,mar_2022_22,3,2022,3/22/2022 8:18,1,0.021564551,169.8029054,74752,9310,2901
Mariupol,mar_2022_23,3,2022,3/23/2022 8:47,2,0.018735506,152.8477055,56222,9000,3910
Mariupol,mar_2022_29,3,2022,3/29/2022 8:29,1,0.029353133,228.0203625,187212,20913,8333
Mariupol,mar_2022_30,3,2022,3/30/2022 9:03,2,0.029400407,228.1094701,33449,3105,1246
