location_name,snapshot,AOI_area_sqkm,AOI_area_covered_sqkm,AOI_area_covered_perc,Perc_area_covered_by_feature,N_features_in_img,Image_resolution,Number_of_img_tiles_downloaded,Stitched_img_width,Stitched_img_height,Total_downloaded_imagery_MB,Stitched_img_file_size_MB,Geotiff_img_file_size_MB
Kherson,apr_2022_20,132.7232804,71.38077285,0.53781652,0.538,1,0.3,278,28764,45406,51.95339966,445.4382219,55.02969265
Kherson,jul_2019_12,132.7232804,98.84669507,0.744757775,"0.723,0.021",2,0.3,345,53317,43311,109.5951452,942.9339962,124.1404839
Kherson,aug_2019_19,132.7232804,132.7233075,1.000000204,"0.712,0.271,0.018",3,0.3,415,70858,45406,239.9215822,2020.645924,270.6286459
Kherson,apr_2020_24,132.7232804,91.93362064,0.692671401,0.693,1,0.4,304,26835,34054,93.5627203,837.9914045,102.6807575
Kherson,apr_2020_29,132.7232804,62.80505983,0.47320304,0.473,1,0.5,248,26094,22633,34.44431305,311.0535469,39.15109348
Kherson,sep_2020_09,132.7232804,44.90725686,0.338352523,0.338,1,0.4,218,28400,22003,48.73188019,420.8796101,55.06306362
Kherson,mar_2021_04,132.7232804,132.7233012,1.000000156,"0.653,0.347",2,0.3,415,70858,45406,206.3585978,1656.817909,232.1553822
Kherson,aug_2021_22,132.7232804,132.7232966,1.000000122,"0.918,0.082",2,0.5,319,42515,27244,69.68793106,622.8672581,79.0296526
Kherson,apr_2022_25,132.7232804,78.12918277,0.588662234,0.589,1,0.3,247,30869,45406,89.03187466,774.3621969,97.46039772
Kherson,may_2022_07,132.7232804,15.90932536,0.119868386,0.12,1,0.4,200,16030,16232,13.60237026,120.6383591,15.66083622
Kherson,may_2022_08,132.7232804,5.083666422,0.038302748,0.038,1,0.3,163,11385,7506,7.381982803,61.71913815,8.003451347
Kherson,jul_2022_22,132.7232804,74.65360043,0.562475552,"0.534,0.028",2,0.42,266,50592,26440,63.4941597,558.3718576,74.83409405
Kherson,aug_2022_19,132.7232804,108.5037532,0.817518621,0.818,1,0.5,283,33674,26824,58.08285046,487.5204391,65.17536831
Kherson,aug_2022_23,132.7232804,25.80656252,0.194438854,0.194,1,0.35,253,22825,19449,31.39800549,258.5736303,34.66803837
Kherson,aug_2022_29,132.7232804,57.46634589,0.432978643,0.433,1,0.3,203,31544,28629,87.69395065,709.1021099,94.40788174
Kherson,sep_2022_21,132.7232804,25.38982619,0.191298965,0.191,1,0.4,234,21554,16237,26.72091103,222.4345789,30.09049129
Kramatorsk,jan_2022_12,150.2587337,131.7697873,0.8769526,0.877,1,0.4,287,29348,39298,165.8909235,1275.374243,183.5274019
Kramatorsk,oct_2021_03,150.2587337,150.2587337,1,1,1,0.5,165,26717,33048,102.4679193,874.0084591,112.0166702
Kramatorsk,mar_2019_30,150.2587337,150.2587337,1,1,1,0.5,165,26717,33048,82.08817959,748.8216276,89.51848793
Kramatorsk,may_2019_27,150.2587337,79.72389903,0.530577472,0.531,1,0.3,192,21589,55080,121.5146351,1009.337996,131.4327612
Kramatorsk,jun_2019_27,150.2587337,123.5159001,0.822021436,0.822,1,0.5,117,21050,33048,67.28992558,570.9137754,73.06997108
Kramatorsk,nov_2019_15,150.2587337,70.77908973,0.471048091,0.471,1,0.5,259,11334,32646,35.95960045,312.2209005,38.71370029
Kramatorsk,nov_2019_24,150.2587337,67.22139693,0.44737098,0.447,1,0.4,232,13662,40807,58.06418324,496.6846609,62.67040634
Kramatorsk,may_2020_02,150.2587337,56.30582812,0.374725826,0.375,1,0.3,152,16192,55080,47.35819244,392.9415598,49.34420204
Kramatorsk,sep_2020_12,150.2587337,97.59929899,0.649541604,0.65,1,0.5,241,15383,32646,57.95363522,497.7659578,62.77534866
Kramatorsk,sep_2020_15,150.2587337,62.0734764,0.413110605,0.413,1,0.4,238,31372,20670,50.86186886,447.7122612,55.91233158
Kramatorsk,oct_2020_10,150.2587337,9.896102268,0.065860413,0.066,1,0.5,234,17765,3421,3.673954964,33.15891075,3.373810768
Kramatorsk,oct_2020_15,150.2587337,47.02738395,0.312976043,0.313,1,0.5,156,24288,12908,27.59013844,246.7601967,30.17311954
Kramatorsk,dec_2020_08,150.2587337,106.8297909,0.710972256,0.711,1,0.4,392,23782,40807,127.0745411,983.7855577,138.8691149
Kramatorsk,sep_2021_01,150.2587337,150.2587337,1,1,1,0.4,309,33396,41310,107.5840082,956.9675999,115.8286047
Kramatorsk,jul_2022_24,150.2587337,150.2587337,1,1,1,0.4,309,33396,41310,120.45187,1089.619877,130.2062769
Kramatorsk,aug_2022_08,150.2587337,150.25873,0.999999975,"0.918,0.082",2,0.36,309,37107,45900,171.5182667,1543.995339,187.1637812
Kramatorsk,aug_2022_25,150.2587337,21.45959769,0.14281764,0.143,1,0.5,191,12927,9261,7.853136063,66.74800682,8.217256546
KryvyiRih,oct_2021_04,595.7418331,357.942578,0.600835057,"0.543,0.058",2,0.3,654,60391,132278,665.5809345,5250.304921,740.5918341
KryvyiRih,mar_2021_04,595.7418331,291.6077649,0.489486802,0.489,1,0.3,596,49362,133505,395.6769409,3170.345155,438.6627865
KryvyiRih,jan_2019_20,595.7418331,235.1866441,0.394779468,"0.225,0.170",2,0.5,238,38544,43252,97.97901726,922.3913517,97.27548695
KryvyiRih,apr_2019_20,595.7418331,21.34867935,0.035835454,0.036,1,0.5,261,5762,23570,10.6967783,89.47004032,11.41920757
KryvyiRih,jul_2019_05,595.7418331,595.7241177,0.999970263,"0.681,0.241,0.077",3,0.3,1081,102939,152653,1132.687125,9272.648005,1282.227857
KryvyiRih,aug_2019_14,595.7418331,448.353716,0.752597335,0.753,1,0.4,822,55587,85952,494.8329506,3906.729546,545.4994965
KryvyiRih,feb_2020_04,595.7418331,595.1442276,0.998996872,"0.630,0.217,0.152",3,0.3,1083,102939,152653,1239.464959,9625.33946,1395.075531
KryvyiRih,apr_2020_29,595.7418331,595.7304318,0.999980862,"0.650,0.329,0.021",3,0.4,1081,77204,114489,476.2118645,4126.243945,542.4921579
KryvyiRih,oct_2020_25,595.7418331,22.48599623,0.037744531,0.038,1,0.4,268,11000,25990,17.33134556,145.8520727,19.20210552
KryvyiRih,feb_2022_21,595.7418331,276.9194372,0.464831277,0.465,1,0.4,513,35990,99104,233.6618176,1910.227939,258.9262447
KryvyiRih,jun_2022_08,595.7418331,185.8326148,0.311934809,0.312,1,0.3,747,38380,127354,223.2859583,1944.215856,255.1561022
KryvyiRih,jul_2022_28,595.7418331,258.6108104,0.434098793,0.434,1,0.3,551,45245,132138,377.2646465,3186.008471,418.9074306
KryvyiRih,aug_2022_13,595.7418331,135.0233606,0.226647439,0.227,1,0.5,150,22235,33613,63.28600788,523.5279121,66.98417187
KryvyiRih,aug_2022_21,595.7418331,135.4902602,0.227431167,0.227,1,0.5,136,23058,31976,74.45104885,587.7851763,80.01390839
Kyiv,feb_2022_28,519.1331585,519.1295823,0.999993111,"0.759,0.128,0.113",3,0.5,288,57929,54507,322.1452389,2719.043749,356.1522036
Kyiv,mar_2022_10,519.1331585,519.1290996,0.999992181,"0.894,0.106",2,0.5,288,57929,54507,328.1144438,2603.387409,360.3996954
Kyiv,mar_2022_11,519.1331585,423.6408606,0.816054328,"0.812,0.004",2,0.5,392,43835,53727,201.9148569,1688.280015,217.5245848
Kyiv,mar_2022_14,519.1331585,420.0543985,0.809145769,0.809,1,0.5,393,42269,53727,191.4625683,1608.356133,202.4518461
Kyiv,mar_2022_08,519.1331585,6.600796656,0.012715036,0.013,1,0.5,84,6835,4089,0.523825645,0.164856911,0.249958038
Kyiv,mar_2022_18,519.1331585,78.86583733,0.15191832,0.152,1,0.4,178,16612,45722,58.66480446,528.024044,64.92537212
Kyiv,mar_2022_19,519.1331585,423.0997935,0.815012077,0.815,1,0.5,228,43838,54507,194.3893442,1641.746498,212.6877899
Kyiv,mar_2022_21,519.1331585,26.98363689,0.051978257,0.052,1,0.5,116,6249,24899,13.05234432,113.1833525,14.37562561
Kyiv,mar_2022_25,519.1331585,63.18488961,0.121712298,"0.121,0.001",2,0.5,211,21128,45555,41.73846626,349.8059359,50.2917881
Kyiv,mar_2022_31,519.1331585,327.6809552,0.631207909,"0.601,0.022,0.008",3,0.3,677,60012,89544,574.7562399,4528.489728,620.3688335
Kyiv,apr_2022_15,519.1331585,492.5130444,0.948721992,0.949,1,0.5,263,57886,46703,265.5950518,2294.318589,291.1041574
Kyiv,mar_2019_03,519.1331585,519.1293145,0.999992595,"0.630,0.241,0.130",3,0.3,927,96548,90845,905.1052322,7413.562759,995.7653713
Kyiv,mar_2019_15,519.1331585,9.039688414,0.017413044,0.017,1,0.3,236,6190,28891,19.83128834,157.3277321,21.92303848
Kyiv,apr_2019_03,519.1331585,519.1291293,0.999992239,"0.538,0.444,0.017",3,0.3,927,96548,90845,736.1723623,6109.959376,812.949707
Kyiv,aug_2019_06,519.1331585,193.6879804,0.373098842,0.373,1,0.4,422,45859,30131,221.6924963,1871.015093,241.8443527
Kyiv,aug_2019_25,519.1331585,270.2005425,0.520484076,0.52,1,0.3,483,52150,77839,473.8420553,3790.542966,518.5501289
