"Image","legacyId","City","Oblast","Raion","Date","acquisitionDate","DateTime","Year","Month","Day","Hour","WeekDay","AOI_area_sqkm","AOI_area_covered_sqkm","AOI_area_covered_perc","Perc_area_covered_by_feature","N_features_in_img","Selection_reason","Image_resolution","cloudCover","offNadirAngle","sunElevation","sunAzimuth","Npop_aoi","Npop_img","Proportion","Pop_threshold","Ncars"
"Chernihiv_apr_2022_28","10300100D2079B00","Chernihiv","Chernihiv","Chernihivska","apr_2022_28","2022-04-28 09:33:39",2022-04-28 09:33:39,2022,4,28,9,"Thursday",120.4986872,111.6579085,0.926631743,"0.927",1,"Urban area 1",0.5,0,27.507812,52.691307,172.47081,295522.96875,295714.15625,1.00064694632979,"Above",2608
"Chernihiv_aug_2022_12","104001007928BA00","Chernihiv","Chernihiv","Chernihivska","aug_2022_12","2022-08-12 09:29:24",2022-08-12 09:29:24,2022,8,12,9,"Friday",120.4986872,117.3956491,0.974248366,"0.974",1,"Urban area 1",0.4,0.0036422636,34.550446,53.085945,167.59439,295522.96875,296264.71875,1.00250995718924,"Above",4483
"Chernihiv_feb_2020_25","104005001FDC3300","Chernihiv","Chernihiv","Chernihivska","feb_2020_25","2020-02-25 09:26:33",2020-02-25 09:26:33,2020,2,25,9,"Tuesday",120.4986872,115.6834016,0.960038689,"0.96",1,"Urban area 1",0.4,0,29.042326,28.814417,168.25914,295522.96875,287118.875,0.971561960867043,"Above",3670
"Chernihiv_feb_2022_28","10300100CE6AD600,10300100CE4B3100","Chernihiv","Chernihiv","Chernihivska","feb_2022_28","2022-02-28 09:05:03,2022-02-28 09:06:50",2022-02-28 09:05:03,2022,2,28,9,"Monday",120.4986872,120.499063,1.000003119,"0.941,0.059",2,"Urban area 1",0.5,0,31.641050564,29.313470015,162.31910182,295522.96875,296464.25,1.00318513736506,"Above",133
"Chernihiv_jul_2022_22","104001007A782200","Chernihiv","Chernihiv","Chernihivska","jul_2022_22","2022-07-22 08:53:50",2022-07-22 08:53:50,2022,7,22,8,"Friday",120.4986872,118.5085795,0.983484404,"0.983",1,"Urban area 1",0.4,0.15377809,32.011433,56.22825,150.59534,295522.96875,294300,0.995861679533158,"Above",4558
"Chernihiv_jun_2019_21","103001009337D000,103001009348D400","Chernihiv","Chernihiv","Chernihivska","jun_2019_21","2019-06-21 09:20:13,2019-06-21 09:19:54",2019-06-21 09:20:13,2019,6,21,9,"Friday",120.4986872,120.4986853,0.999999984,"0.976,0.024",2,"Urban area 1",0.4,0.025947815344,17.789226048,61.256294584,162.41901816,295522.96875,296464.25,1.00318513736506,"Above",1250
"Chernihiv_jun_2020_16","1040050024DCE400,1040050024DCE300","Chernihiv","Chernihiv","Chernihivska","jun_2020_16","2020-06-16 08:56:47,2020-06-16 08:56:28",2020-06-16 08:56:47,2020,6,16,8,"Tuesday",120.4986872,120.4986706,0.999999862,"0.745,0.255",2,"Urban area 1",0.3,0.017637766135,23.511103445,59.82721004,152.21622095,295522.96875,296464.25,1.00318513736506,"Above",10561
"Chernihiv_mar_2020_03","104005001FDC6D00","Chernihiv","Chernihiv","Chernihivska","mar_2020_03","2020-03-03 09:35:53",2020-03-03 09:35:53,2020,3,3,9,"Tuesday",120.4986872,100.744828,0.836065773,"0.836",1,"Urban area 1",0.4,0.09765031,29.598675,31.744688,170.87915,295522.96875,228907.359375,0.774583986968018,"Above",3821
"Chernihiv_mar_2021_30","104005002FDC4C00,104005002FDC4D00","Chernihiv","Chernihiv","Chernihivska","mar_2021_30","2021-03-30 09:15:51,2021-03-30 09:16:08",2021-03-30 09:15:51,2021,3,30,9,"Tuesday",120.4986872,120.4986848,0.99999998,"0.973,0.027",2,"Urban area 1",0.3,0,25.012667203,41.756017208,165.38550086,295522.96875,296464.25,1.00318513736506,"Above",15271
"Chernihiv_mar_2022_10","10300100CF739900","Chernihiv","Chernihiv","Chernihivska","mar_2022_10","2022-03-10 09:37:31",2022-03-10 09:37:31,2022,3,10,9,"Thursday",120.4986872,120.4986872,1,"1",1,"Urban area 1",0.5,0,31.916035,34.293262,171.60922,295522.96875,296464.25,1.00318513736506,"Above",440
"Chernihiv_mar_2022_16","10300100CE8B4300","Chernihiv","Chernihiv","Chernihivska","mar_2022_16","2022-03-16 09:17:02",2022-03-16 09:17:02,2022,3,16,9,"Wednesday",120.4986872,39.59385408,0.328583282,"0.329",1,"Urban area 1",0.4,0.00019766454,11.432085,36.041107,165.73328,295522.96875,153998.90625,0.521106386083569,"Above",659
